TI	y*	Downstream
1.92	-1.7	1.2
2.713	-1.575	1.2
2.28	-1.425	1.2
2.708	-1.3	1.2
2.11	-1.15	1.2
2.505	-1	1.2
2.701	-0.85	1.2
2.367	-0.715	1.2
12.299	-0.575	1.2
14.185	-0.5	1.2
5.541	-0.425	1.2
6.367	-0.275	1.2
11.828	-0.15	1.2
21.925	0	1.2
16.923	0.15	1.2
16.159	0.275	1.2
5.229	0.425	1.2
12.281	0.5	1.2
15.161	0.575	1.2
2.874	0.715	1.2
2.54	0.85	1.2
2.472	1	1.2
3.198	1.15	1.2
2.996	1.3	1.2
2.928	1.425	1.2
2.826	1.575	1.2
3.122	1.7	1.2
2.583	-1.7	2
2.415	-1.575	2
2.247	-1.425	2
2.377	-1.3	2
2.242	-1.15	2
2.24	-1	2
2.734	-0.85	2
3.096	-0.715	2
13.756	-0.575	2
15.874	-0.5	2
9.548	-0.425	2
8.056	-0.275	2
12.226	-0.15	2
16.892	0	2
11.327	0.15	2
14.371	0.275	2
9.733	0.425	2
15.593	0.5	2
14.002	0.575	2
2.874	0.715	2
3.004	0.85	2
2.273	1	2
2.304	1.15	2
2.864	1.3	2
2.729	1.425	2
2.926	1.575	2
2.957	1.7	2
2.053	-1.7	3
2.448	-1.575	3
2.413	-1.425	3
2.377	-1.3	3
2.805	-1.15	3
2.505	-1	3
2.602	-0.85	3
4.454	-0.715	3
12.167	-0.575	3
16.304	-0.5	3
14.548	-0.425	3
9.645	-0.275	3
11.829	-0.15	3
13.946	0	3
11.46	0.15	3
13.146	0.275	3
15.395	0.425	3
15.03	0.5	3
11.452	0.575	3
3.867	0.715	3
2.474	0.85	3
2.504	1	3
2.734	1.15	3
2.897	1.3	3
3.094	1.425	3
3.29	1.575	3
3.023	1.7	3
2.285	-1.7	4
2.183	-1.575	4
2.281	-1.425	4
2.311	-1.3	4
2.011	-1.15	4
2.571	-1	4
3.496	-0.85	4
4.686	-0.715	4
12.134	-0.575	4
14.451	-0.5	4
15.112	-0.425	4
14.811	-0.275	4
14.61	-0.15	4
17.654	0	4
15.93	0.15	4
15.828	0.275	4
15.727	0.425	4
14.037	0.5	4
11.453	0.575	4
4.728	0.715	4
2.805	0.85	4
2.638	1	4
2.403	1.15	4
2.931	1.3	4
2.829	1.425	4
2.959	1.575	4
3.222	1.7	4
2.219	-1.7	5
2.282	-1.575	5
2.578	-1.425	5
2.643	-1.3	5
2.541	-1.15	5
2.671	-1	5
3.165	-0.85	5
6.275	-0.715	5
11.439	-0.575	5
12.63	-0.5	5
14.748	-0.425	5
15.805	-0.275	5
17.028	-0.15	5
19.741	0	5
20.07	0.15	5
17.981	0.275	5
16.521	0.425	5
13.871	0.5	5
11.817	0.575	5
6.252	0.715	5
3.203	0.85	5
2.936	1	5
2.603	1.15	5
3.064	1.3	5
2.862	1.425	5
3.324	1.575	5
2.99	1.7	5
2.033	-1.7	6
2.267	-1.575	6
2.367	-1.425	6
2.1	-1.3	6
2.9	-1.15	6
2.633	-1	6
4.233	-0.85	6
6.933	-0.715	6
10.533	-0.575	6
12.567	-0.5	6
14.1	-0.425	6
14.867	-0.275	6
18.167	-0.15	6
19.167	0	6
20.267	0.15	6
19.233	0.275	6
16.5	0.425	6
14.2	0.5	6
12.5	0.575	6
6.433	0.715	6
3.933	0.85	6
3.4	1	6
2.9	1.15	6
2.733	1.3	6
2.8	1.425	6
2.833	1.575	6
3.1	1.7	6
2.1	-1.7	7
2.6	-1.575	7
2.4	-1.425	7
2.3	-1.3	7
2.733	-1.15	7
2.7	-1	7
3.733	-0.85	7
7.267	-0.715	7
10.7	-0.575	7
12.667	-0.5	7
12.267	-0.425	7
14.167	-0.275	7
15.033	-0.15	7
16	0	7
17.9	0.15	7
17.133	0.275	7
16.067	0.425	7
13.933	0.5	7
11.767	0.575	7
7.867	0.715	7
