u*	y*	Downstream
1.029	-1.7	1.2
1.019	-1.575	1.2
1.026	-1.425	1.2
1.032	-1.3	1.2
1.038	-1.15	1.2
1.042	-1	1.2
1.035	-0.85	1.2
1.037	-0.715	1.2
1.002	-0.575	1.2
0.698	-0.5	1.2
0.602	-0.425	1.2
0.517	-0.275	1.2
0.572	-0.15	1.2
0.503	0	1.2
0.493	0.15	1.2
0.499	0.275	1.2
0.629	0.425	1.2
0.687	0.5	1.2
1.011	0.575	1.2
1.034	0.715	1.2
1.038	0.85	1.2
1.036	1	1.2
1.032	1.15	1.2
1.048	1.3	1.2
1.047	1.425	1.2
1.036	1.575	1.2
1.051	1.7	1.2
1.039	-1.7	2
1.022	-1.575	2
1.032	-1.425	2
1.026	-1.3	2
1.031	-1.15	2
1.05	-1	2
1.04	-0.85	2
1.039	-0.715	2
0.93	-0.575	2
0.714	-0.5	2
0.592	-0.425	2
0.511	-0.275	2
0.478	-0.15	2
0.504	0	2
0.546	0.15	2
0.471	0.275	2
0.628	0.425	2
0.725	0.5	2
0.951	0.575	2
1.041	0.715	2
1.021	0.85	2
1.042	1	2
1.03	1.15	2
1.046	1.3	2
1.053	1.425	2
1.055	1.575	2
1.062	1.7	2
1.034	-1.7	3
1.036	-1.575	3
1.026	-1.425	3
1.026	-1.3	3
1.035	-1.15	3
1.042	-1	3
1.029	-0.85	3
1.021	-0.715	3
0.902	-0.575	3
0.784	-0.5	3
0.628	-0.425	3
0.52	-0.275	3
0.498	-0.15	3
0.495	0	3
0.488	0.15	3
0.512	0.275	3
0.66	0.425	3
0.799	0.5	3
0.95	0.575	3
1.043	0.715	3
1.041	0.85	3
1.037	1	3
1.03	1.15	3
1.043	1.3	3
1.057	1.425	3
1.04	1.575	3
1.074	1.7	3
1.026	-1.7	4
1.039	-1.575	4
1.042	-1.425	4
1.034	-1.3	4
1.038	-1.15	4
1.048	-1	4
1.03	-0.85	4
1.019	-0.715	4
0.905	-0.575	4
0.808	-0.5	4
0.708	-0.425	4
0.569	-0.275	4
0.52	-0.15	4
0.482	0	4
0.475	0.15	4
0.54	0.275	4
0.7	0.425	4
0.824	0.5	4
0.935	0.575	4
1.028	0.715	4
1.039	0.85	4
1.036	1	4
1.04	1.15	4
1.052	1.3	4
1.05	1.425	4
1.053	1.575	4
1.041	1.7	4
1.04	-1.7	5
1.029	-1.575	5
1.032	-1.425	5
1.028	-1.3	5
1.031	-1.15	5
1.046	-1	5
1.041	-0.85	5
1.014	-0.715	5
0.889	-0.575	5
0.823	-0.5	5
0.735	-0.425	5
0.625	-0.275	5
0.554	-0.15	5
0.503	0	5
0.504	0.15	5
0.602	0.275	5
0.745	0.425	5
0.813	0.5	5
0.92	0.575	5
1.009	0.715	5
1.033	0.85	5
1.023	1	5
1.035	1.15	5
